scenario_id,civilization_type,population_level,initial_population,environment,resource_abundance,disaster_freq,round,population,resources,tech_level,stability,happiness,conflict_count,env_degradation,military_power,knowledge,per_capita_resource,carrying_capacity,alive
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,1,10.37,289.77,1.0023,0.6703,0.5308,0,0.0,1.59,20.51,27.9474,2464.5,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,2,10.77,272.42,1.0046,0.6574,0.7681,0,0.0,2.2,21.01,25.3,2465.12,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,3,11.13,261.89,1.0071,0.6468,0.8124,0,0.0,2.82,21.52,23.5254,2465.76,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,4,11.55,245.65,1.0096,0.608,0.801,0,0.0,3.46,22.01,21.262,2466.43,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,5,11.95,244.0,1.0122,0.5962,0.7739,0,0.0,4.11,22.5,20.4237,2467.1,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,6,12.4,240.13,1.0149,0.5837,0.7554,0,0.0,4.78,22.99,19.3634,2467.81,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,7,12.81,231.97,1.0177,0.4831,0.7188,0,0.0,5.47,23.47,18.1081,2468.53,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,8,13.19,242.1,1.0203,0.469,0.6931,0,0.0,6.15,23.93,18.3563,2469.21,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,9,13.53,240.07,1.023,0.3907,0.6713,0,0.0,6.85,24.38,17.7492,2469.92,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,10,13.96,237.33,1.0256,0.3764,0.6561,0,0.0,7.54,24.8,17.0005,2470.59,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,11,14.4,238.41,1.0283,0.2788,0.6241,0,0.0,8.24,25.23,16.5583,2471.28,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,12,14.75,246.97,1.0308,0.2209,0.5981,1,0.0,8.93,25.62,16.7469,2471.93,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,13,15.15,265.25,1.0333,0.2055,0.5889,1,0.0,9.61,26.0,17.5137,2472.56,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,14,15.47,277.62,1.0358,0.1023,0.5716,2,0.0,10.3,26.38,17.9443,2473.21,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,15,15.99,314.65,1.038,0.0878,0.5674,2,0.0,10.95,26.72,19.6819,2473.79,1
