scenario_id,civilization_type,population_level,environment,round,population,tech_level,stability,happiness,env_degradation,conflict_count
S001,掠夺文明,小型部落,贫瘠位面,1,10.37,1.0023,0.6703,0.5308,0.0,0
S001,掠夺文明,小型部落,贫瘠位面,11,14.4,1.0283,0.2788,0.6241,0.0,0
S001,掠夺文明,小型部落,贫瘠位面,21,18.06,1.0529,0.0,0.6702,0.0,6
S001,掠夺文明,小型部落,贫瘠位面,31,21.99,1.0831,0.0108,0.7028,0.0,13
S001,掠夺文明,小型部落,贫瘠位面,41,26.9,1.1218,0.0085,0.7021,0.0,20
S001,掠夺文明,小型部落,贫瘠位面,51,32.91,1.1689,0.0206,0.7058,0.0,27
S001,掠夺文明,小型部落,贫瘠位面,61,41.4,1.2235,0.0,0.7033,0.0,31
S001,掠夺文明,小型部落,贫瘠位面,71,49.97,1.2846,0.0053,0.7012,0.0,39
S001,掠夺文明,小型部落,贫瘠位面,81,60.95,1.3537,0.0056,0.7016,0.0,47
S001,掠夺文明,小型部落,贫瘠位面,91,74.29,1.4308,0.0231,0.7062,0.0,54
S001,掠夺文明,小型部落,贫瘠位面,101,94.34,1.5149,0.0,0.7004,0.0,58
S001,掠夺文明,小型部落,贫瘠位面,111,118.58,1.6064,0.0167,0.7043,0.0,63
S001,掠夺文明,小型部落,贫瘠位面,121,149.17,1.708,0.0117,0.7033,0.0,69
S001,掠夺文明,小型部落,贫瘠位面,131,171.08,1.8194,0.0134,0.7033,0.0,76
S001,掠夺文明,小型部落,贫瘠位面,141,208.59,1.9446,0.0348,0.7096,0.0,81
S001,掠夺文明,小型部落,贫瘠位面,151,246.31,2.0818,0.0129,0.7043,0.0,89
S001,掠夺文明,小型部落,贫瘠位面,161,292.29,2.232,0.0455,0.7127,0.0,95
S001,掠夺文明,小型部落,贫瘠位面,171,377.78,2.3978,0.1221,0.7356,0.0,99
S001,掠夺文明,小型部落,贫瘠位面,181,465.06,2.5808,0.1304,0.7381,0.0,106
S001,掠夺文明,小型部落,贫瘠位面,191,603.16,2.7849,0.119,0.7372,0.0,110
S001,掠夺文明,小型部落,贫瘠位面,201,789.12,3.0032,0.1422,0.7416,0.0001,114
S001,掠夺文明,小型部落,贫瘠位面,211,954.18,3.2401,0.0263,0.7051,0.0106,122
S001,掠夺文明,小型部落,贫瘠位面,221,1075.77,3.4984,0.0097,0.6921,0.039,129
S001,掠夺文明,小型部落,贫瘠位面,231,1336.51,3.7903,0.1075,0.708,0.0848,135
S001,掠夺文明,小型部落,贫瘠位面,241,1518.35,4.1135,0.0209,0.6609,0.1598,142
S001,掠夺文明,小型部落,贫瘠位面,251,1520.84,4.4826,0.0317,0.6377,0.2489,150
S001,掠夺文明,小型部落,贫瘠位面,261,1518.64,4.9066,0.0202,0.6038,0.3525,156
S001,掠夺文明,小型部落,贫瘠位面,271,1678.74,5.3809,0.0686,0.5819,0.4779,163
S001,掠夺文明,小型部落,贫瘠位面,281,1930.04,5.9031,0.066,0.5354,0.6428,169
S001,掠夺文明,小型部落,贫瘠位面,291,2043.19,6.479,0.016,0.4582,0.8516,176
S001,掠夺文明,小型部落,贫瘠位面,301,1846.75,7.157,0.0,0.4025,1.0,185
S001,掠夺文明,小型部落,贫瘠位面,311,1749.23,7.975,0.0568,0.4161,1.0,194
S001,掠夺文明,小型部落,贫瘠位面,321,1780.73,8.9134,0.0425,0.4118,1.0,199
S001,掠夺文明,小型部落,贫瘠位面,331,1881.16,9.9693,0.0806,0.4235,1.0,205
S001,掠夺文明,小型部落,贫瘠位面,341,1955.84,11.1571,0.04,0.4118,1.0,210
S001,掠夺文明,小型部落,贫瘠位面,351,2102.08,12.4986,0.0416,0.413,1.0,215
S001,掠夺文明,小型部落,贫瘠位面,361,2196.46,14.0213,0.0422,0.4155,1.0,221
S001,掠夺文明,小型部落,贫瘠位面,371,2116.88,15.8557,0.0497,0.414,1.0,230
S001,掠夺文明,小型部落,贫瘠位面,381,1854.62,18.0887,0.007,0.4016,1.0,236
S001,掠夺文明,小型部落,贫瘠位面,391,1704.88,20.9237,0.0,0.4007,1.0,242
S001,掠夺文明,小型部落,贫瘠位面,401,1593.19,24.3878,0.0,0.401,1.0,248
S001,掠夺文明,小型部落,贫瘠位面,411,1522.83,28.6019,0.007,0.4017,1.0,257
S001,掠夺文明,小型部落,贫瘠位面,421,1591.08,33.7282,0.0204,0.4057,1.0,266
S001,掠夺文明,小型部落,贫瘠位面,431,1633.29,39.9266,0.0568,0.4161,1.0,273
S001,掠夺文明,小型部落,贫瘠位面,441,1600.94,47.59,0.0424,0.4118,1.0,280
S001,掠夺文明,小型部落,贫瘠位面,451,1602.92,57.6166,0.0496,0.414,1.0,287
S001,掠夺文明,小型部落,贫瘠位面,461,1668.87,70.1856,0.0211,0.4055,1.0,293
S001,掠夺文明,小型部落,贫瘠位面,471,1722.35,87.1202,0.0533,0.4151,1.0,300
S001,掠夺文明,小型部落,贫瘠位面,481,1799.2,110.3561,0.1271,0.4372,1.0,307
S001,掠夺文明,小型部落,贫瘠位面,491,1997.91,143.6573,0.1062,0.4311,1.0,312
S002,掠夺文明,小型部落,普通位面,1,10.39,1.0023,0.6703,0.5308,0.0,0
S002,掠夺文明,小型部落,普通位面,11,14.54,1.0288,0.5156,0.8544,0.0,0
S002,掠夺文明,小型部落,普通位面,21,19.95,1.0677,0.5547,0.8658,0.0,0
S002,掠夺文明,小型部落,普通位面,31,27.6,1.1203,0.4329,0.8312,0.0,0
S002,掠夺文明,小型部落,普通位面,41,37.01,1.1802,0.3953,0.8178,0.0,2
S002,掠夺文明,小型部落,普通位面,51,48.16,1.2474,0.2336,0.7695,0.0,7
S002,掠夺文明,小型部落,普通位面,61,61.17,1.3209,0.0331,0.7139,0.0,12
S002,掠夺文明,小型部落,普通位面,71,74.93,1.3973,0.0,0.7006,0.0,20
S002,掠夺文明,小型部落,普通位面,81,93.09,1.48,0.0114,0.7028,0.0,27
S002,掠夺文明,小型部落,普通位面,91,116.03,1.5703,0.0171,0.7045,0.0,34
S002,掠夺文明,小型部落,普通位面,101,143.68,1.6703,0.0119,0.7031,0.0,42
S002,掠夺文明,小型部落,普通位面,111,169.55,1.7797,0.0,0.7006,0.0,51
S002,掠夺文明,小型部落,普通位面,121,202.54,1.8998,0.0132,0.7034,0.0,60
S002,掠夺文明,小型部落,普通位面,131,211.77,2.0354,0.0,0.7025,0.0,70
S002,掠夺文明,小型部落,普通位面,141,243.18,2.1906,0.0628,0.7177,0.0,77
S002,掠夺文明,小型部落,普通位面,151,255.21,2.3587,0.0,0.7009,0.0,87
S002,掠夺文明,小型部落,普通位面,161,259.18,2.5482,0.0,0.7002,0.0,95
S002,掠夺文明,小型部落,普通位面,171,264.14,2.7693,0.0231,0.7058,0.0,103
S002,掠夺文明,小型部落,普通位面,181,268.34,3.0094,0.0115,0.7027,0.0,111
S002,掠夺文明,小型部落,普通位面,191,323.22,3.2704,0.0688,0.7193,0.0,118
S002,掠夺文明,小型部落,普通位面,201,404.53,3.5486,0.1544,0.7477,0.0,125
S002,掠夺文明,小型部落,普通位面,211,503.63,3.856,0.1034,0.7376,0.0,132
S002,掠夺文明,小型部落,普通位面,221,637.84,4.1814,0.0679,0.7197,0.0,136
S002,掠夺文明,小型部落,普通位面,231,759.06,4.5224,0.0451,0.7122,0.0,144
S002,掠夺文明,小型部落,普通位面,241,773.97,4.9079,0.0,0.7017,0.0,151
S002,掠夺文明,小型部落,普通位面,251,903.78,5.3502,0.0814,0.7229,0.0,157
S002,掠夺文明,小型部落,普通位面,261,968.89,5.8283,0.0115,0.7025,0.0,165
S002,掠夺文明,小型部落,普通位面,271,1075.78,6.369,0.0,0.701,0.0,171
S002,掠夺文明,小型部落,普通位面,281,1184.21,6.9909,0.0347,0.709,0.0,177
S002,掠夺文明,小型部落,普通位面,291,1424.19,7.661,0.0815,0.7212,0.0096,183
S002,掠夺文明,小型部落,普通位面,301,1650.03,8.3924,0.0456,0.6959,0.0648,190
S002,掠夺文明,小型部落,普通位面,311,1772.25,9.222,0.0109,0.6566,0.1714,199
S002,掠夺文明,小型部落,普通位面,321,2116.74,10.1749,0.1186,0.6409,0.3409,207
S002,掠夺文明,小型部落,普通位面,331,2366.78,11.2341,0.0,0.5312,0.6208,213
S002,掠夺文明,小型部落,普通位面,341,2225.15,12.5066,0.0152,0.4246,0.9846,218
S002,掠夺文明,小型部落,普通位面,351,1914.15,14.126,0.0,0.4,1.0,223
S002,掠夺文明,小型部落,普通位面,361,1873.19,16.2169,0.0353,0.4097,1.0,230
S002,掠夺文明,小型部落,普通位面,371,1671.48,18.6887,0.014,0.4034,1.0,235
S002,掠夺文明,小型部落,普通位面,381,1615.53,21.6748,0.0141,0.4037,1.0,242
S002,掠夺文明,小型部落,普通位面,391,1757.39,25.1241,0.086,0.4249,1.0,249
S002,掠夺文明,小型部落,普通位面,401,1880.68,29.1641,0.119,0.4347,1.0,255
S002,掠夺文明,小型部落,普通位面,411,2083.48,33.8638,0.0825,0.4238,1.0,259
S002,掠夺文明,小型部落,普通位面,421,2141.98,39.6093,0.0,0.4023,1.0,263
S002,掠夺文明,小型部落,普通位面,431,1987.42,47.3571,0.007,0.4018,1.0,272
S002,掠夺文明,小型部落,普通位面,441,1977.24,57.6134,0.0141,0.4036,1.0,280
