scenario_id,civilization_type,population_level,initial_population,environment,resource_abundance,disaster_freq,final_population,peak_population,peak_population_round,final_tech_level,final_stability,avg_stability,avg_happiness,total_conflicts,final_env_degradation,final_knowledge,survived_500_rounds,collapse_round
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,2202.71,2211.44,356,186.5859,0.1157,0.0542,0.5716,315,1.0,2987.37,1,500
S002,掠夺文明,小型部落,10,普通位面,0.7,0.3,1493.54,2493.31,334,300.5432,0.007,0.0802,0.6183,321,1.0,3779.11,1,500
S003,掠夺文明,小型部落,10,富饶位面,1.2,0.2,21682.87,23527.06,445,5064.7846,0.1232,0.2344,0.5911,211,1.0,23516.84,1,500
S004,掠夺文明,小型部落,10,灾厄位面,0.5,0.7,9.56,118.14,120,552.6361,0.0,0.0139,0.7033,332,0.0,5391.96,1,500
S005,掠夺文明,城邦文明,100,贫瘠位面,0.35,0.15,293.98,21310.38,279,nan,0.0141,0.5835,0.6195,65,1.0,nan,1,500
S006,掠夺文明,城邦文明,100,普通位面,0.7,0.3,15.84,2360.14,225,nan,0.014,0.0358,0.4988,326,1.0,nan,1,500
S007,掠夺文明,城邦文明,100,富饶位面,1.2,0.2,15881.99,153294.88,318,nan,0.1698,0.6484,0.6538,33,1.0,nan,1,500
S008,掠夺文明,城邦文明,100,灾厄位面,0.5,0.7,0.0,1319.08,122,nan,0.0,0.0121,0.5437,289,1.0,nan,0,447
S009,掠夺文明,大陆文明,1000,贫瘠位面,0.35,0.15,7.29,10560.79,244,nan,0.2582,0.2987,0.4814,189,1.0,nan,1,500
S010,掠夺文明,大陆文明,1000,普通位面,0.7,0.3,3.3,5475.62,116,nan,0.014,0.0529,0.4279,319,1.0,nan,1,500
S011,掠夺文明,大陆文明,1000,富饶位面,1.2,0.2,121.71,30831.88,309,nan,0.0425,0.1687,0.4667,264,1.0,nan,1,500
S012,掠夺文明,大陆文明,1000,灾厄位面,0.5,0.7,0.0,3896.05,107,nan,0.0,0.0139,0.4139,232,1.0,nan,0,380
S013,掠夺文明,星际文明,10000,贫瘠位面,0.35,0.15,9.45,16134.42,191,nan,0.0782,0.2979,0.4742,193,1.0,nan,1,500
S014,掠夺文明,星际文明,10000,普通位面,0.7,0.3,1.3,17533.81,106,nan,0.0,0.1125,0.4234,280,1.0,nan,1,500
S015,掠夺文明,星际文明,10000,富饶位面,1.2,0.2,33.14,25983.53,70,nan,0.007,0.0977,0.4199,320,1.0,nan,1,500
S016,掠夺文明,星际文明,10000,灾厄位面,0.5,0.7,0.0,11228.77,11,nan,0.007,0.0207,0.3957,227,1.0,nan,0,358
S017,锚点共生文明,小型部落,10,贫瘠位面,0.35,0.15,78.84,3717.87,375,1356.5667,1.0,0.9967,0.8662,0,0.0,90860.06,1,500
S018,锚点共生文明,小型部落,10,普通位面,0.7,0.3,701.27,9457.62,434,1391.9032,1.0,0.9946,0.8991,0,0.0,92410.6,1,500
S019,锚点共生文明,小型部落,10,富饶位面,1.2,0.2,16222.87,30717.12,481,1461.4472,1.0,0.9973,0.9306,0,0.0,95755.88,1,500
S020,锚点共生文明,小型部落,10,灾厄位面,0.5,0.7,2.96,69.67,434,1340.112,0.5901,0.9713,0.8965,0,0.0,79762.55,1,500
S021,锚点共生文明,城邦文明,100,贫瘠位面,0.35,0.15,8.74,4086.64,327,3966.4769,1.0,0.9959,0.8458,0,0.0,266383.24,1,500
S022,锚点共生文明,城邦文明,100,普通位面,0.7,0.3,58.1,9915.73,364,4028.3928,0.9444,0.9897,0.881,0,0.0,267449.46,1,500
S023,锚点共生文明,城邦文明,100,富饶位面,1.2,0.2,1772.12,41174.46,403,3820.7604,0.5525,0.9639,0.8739,0,1.0,227884.39,1,500
S024,锚点共生文明,城邦文明,100,灾厄位面,0.5,0.7,0.0,466.8,364,2716.2589,0.1778,0.883,0.8503,0,0.0,126096.98,0,489
S025,锚点共生文明,大陆文明,1000,贫瘠位面,0.35,0.15,2.54,4123.59,287,7825.7853,0.9877,0.9949,0.8355,0,0.0,523952.2,1,500
S026,锚点共生文明,大陆文明,1000,普通位面,0.7,0.3,50.59,10669.66,297,8129.1494,0.9934,0.9937,0.8807,0,0.0,543113.83,1,500
S027,锚点共生文明,大陆文明,1000,富饶位面,1.2,0.2,950.73,40959.57,341,7372.2144,0.4511,0.96,0.8494,0,1.0,435347.75,1,500
S028,锚点共生文明,大陆文明,1000,灾厄位面,0.5,0.7,0.0,4417.61,326,3888.1917,0.0003,0.8009,0.8086,0,0.0,145125.46,0,486
S029,锚点共生文明,星际文明,10000,贫瘠位面,0.35,0.15,1.75,9811.6,1,12938.8235,1.0,0.9953,0.8285,0,0.0,868941.37,1,500
S030,锚点共生文明,星际文明,10000,普通位面,0.7,0.3,18.14,15375.02,326,13046.6819,0.99,0.9874,0.8679,0,0.0,873062.43,1,500
S031,锚点共生文明,星际文明,10000,富饶位面,1.2,0.2,362.14,40654.3,317,10658.9815,0.2866,0.917,0.8169,0,1.0,543839.08,1,500
S032,锚点共生文明,星际文明,10000,灾厄位面,0.5,0.7,0.0,9675.16,1,7151.6231,0.1426,0.8389,0.8145,0,0.0,310563.0,0,484
